feature,impute_median,mean,scale,coefficient
max_credit_apply_amt,2000.0,3708.813462885154,4435.428746809324,0.020476655589362652
hist_remit_cnt,2.0,3.2574404761904763,4.465357116416243,-0.04301406276296724
hist_settled_cnt,2.0,3.2574404761904763,4.465357116416243,-0.04301406276296724
hist_overdue_order_cnt,0.0,0.13567927170868346,0.4137535203049464,0.005843026775700361
hist_max_overdue_days,0.0,-1.5749299719887955,3.439501390176089,0.01269953310922488
hist_avg_remit_amt,1050.0,1745.351945584334,1832.1757765222574,-0.1502806446478411
hist_total_remit_amt,2000.0,8736.776785714286,23844.599114780125,-0.05187487848467586
hist_weighted_interest_rate,0.4282095890410959,0.41175598374393535,0.09052298943422384,-0.00178598395300831
user_loan_tenure_days,18.0,52.38795518207283,95.86039986608331,-0.09142594304172652
days_since_last_repaid,0.0,0.0,1.0,0.0
hist_overdue_order_rate,0.0,0.03768101311920247,0.13932748260302738,0.031014087408055557
previous_order_overdue_flag,0.0,0.03405112044817927,0.181360529455565,0.06489875849260429
previous_remit_amt,1100.0,2249.5487570028013,2893.8625669892053,0.20135304074751187
previous_interest_rate,0.45428571428571424,0.4200950330686726,0.11529553991176812,0.05802433716053298
intercept,0.0,0.0,1.0,-0.5655415339997043
